,ret,bin,start,data
2017-02-15,0.006683156024886339,1.0,2017-02-08,[229.240005 230.600006 231.509995 232.770004 233.699997 234.919998]
2017-03-02,-0.00533010441381454,-1.0,2017-02-23,[236.440002 236.740005 237.110001 236.470001 239.779999 238.270004]
2017-03-16,-0.019917813148571217,-1.0,2017-03-09,[236.860001 237.690002 237.809998 236.899994 238.949997 238.479996]
2017-03-23,0.005512148038764542,1.0,2017-03-16,[238.479996 237.029999 236.770004 233.729996 234.279999 234.029999]
2017-04-13,0.005849210912416858,1.0,2017-04-06,[235.440002 235.199997 235.339996 235.059998 234.029999 232.509995]
2017-04-21,0.016241093247642224,1.0,2017-04-17,[234.570007 233.869995 233.440002 235.339996 234.589996]
2017-05-12,-0.013222818030342642,1.0,2017-05-05,[239.699997 239.660004 239.440002 239.869995 239.380005 238.979996]
2017-05-19,0.009651307201974602,1.0,2017-05-12,[238.979996 240.300003 240.080002 235.820007 236.770004 238.309998]
2017-06-12,0.00534189264734608,1.0,2017-06-05,[243.990005 243.210007 243.660004 243.779999 243.410004 243.360001]
2017-06-19,-0.005599652487539464,-1.0,2017-06-12,[243.360001 244.550003 244.240005 243.770004 242.639999 244.660004]
2017-06-26,-0.004439089280585451,-1.0,2017-06-19,[244.660004 243.009995 242.949997 242.839996 243.130005 243.289993]
2017-07-03,0.000660534228051235,-1.0,2017-06-26,[243.289993 241.330002 243.490005 241.350006 241.800003 242.210007]
2017-07-11,0.013790812884175274,1.0,2017-07-05,[242.770004 240.550003 242.110001 242.369995 242.190002]
2017-07-18,0.004721985594366318,1.0,2017-07-11,[242.190002 244.009995 244.419998 245.559998 245.529999 245.660004]
2017-08-08,-0.0029119227313744167,-1.0,2017-08-01,[247.320007 247.440002 246.960007 247.410004 247.869995 247.259995]
2017-08-15,-0.014644440684849491,-1.0,2017-08-08,[247.259995 247.25     243.759995 244.119995 246.539993 246.509995]
2017-08-22,-0.003544634097582877,-1.0,2017-08-15,[246.509995 246.940002 243.089996 242.710007 242.899994 245.440002]
2017-08-29,0.004941768308553751,1.0,2017-08-22,[245.440002 244.559998 243.990005 244.559998 244.570007 244.850006]
2017-09-06,0.009356067461062878,1.0,2017-08-30,[246.009995 247.490005 247.839996 246.059998 246.899994]
2017-09-27,0.00907820025101147,1.0,2017-09-20,[250.059998 249.389999 249.440002 248.929993 249.080002 250.050003]
2017-10-04,0.0031205284702080505,1.0,2017-09-27,[250.050003 250.350006 251.229996 252.320007 252.860001 253.160004]
2017-10-18,0.0015250430098348033,1.0,2017-10-11,[255.020004 254.639999 254.949997 255.289993 255.470001 255.720001]
2017-10-25,0.005719013827541586,1.0,2017-10-18,[255.720001 255.789993 257.109985 256.109985 256.559998 255.289993]
2017-11-01,0.00528182085835649,1.0,2017-10-25,[255.289993 255.619995 257.709991 256.75     257.149994 257.48999 ]
2017-11-15,0.007253103983363651,1.0,2017-11-08,[259.109985 258.170013 258.089996 258.329987 257.730011 256.440002]
2017-11-30,-0.006867695299509702,-1.0,2017-11-24,[260.359985 260.230011 262.869995 262.709991 265.01001 ]
2017-12-07,0.010262399849143344,1.0,2017-11-30,[265.01001  264.459991 264.140015 263.190002 263.23999  264.070007]
2017-12-14,0.005683990729744792,1.0,2017-12-07,[264.070007 265.51001  266.309998 266.779999 266.75     265.660004]
2017-12-29,0.013527753139909615,1.0,2017-12-22,[267.51001  267.190002 267.320007 267.869995 266.859985]
2018-01-08,0.011134593513618007,1.0,2018-01-02,[268.769989 270.470001 271.609985 273.420013 273.920013]
2018-01-16,0.020652059715304816,1.0,2018-01-09,[274.540009 274.119995 276.119995 277.920013 276.970001]
2018-01-23,0.00490657614402501,1.0,2018-01-16,[276.970001 279.609985 279.140015 280.410004 282.690002 283.290009]
2018-01-30,-0.06328086444914593,-1.0,2018-01-23,[283.290009 283.179993 283.299988 286.579987 284.679993 281.76001 ]
2018-02-06,-0.014082446882873523,-1.0,2018-01-30,[281.76001  281.899994 281.579987 275.450012 263.929993 269.130005]
2018-02-13,0.020300729323308175,1.0,2018-02-06,[269.130005 267.670013 257.630005 261.5      265.339996 266.      ]
2018-02-21,0.029068714492962666,1.0,2018-02-14,[269.589996 273.029999 273.109985 271.399994 270.049988]
2018-02-28,0.0019878815090272894,-1.0,2018-02-21,[270.049988 270.399994 274.709991 277.899994 274.429993 271.649994]
2018-03-07,0.021042561848531927,1.0,2018-02-28,[271.649994 267.700012 269.079987 272.190002 272.880005 272.779999]
2018-03-14,-0.017471842388892544,-1.0,2018-03-07,[272.779999 274.100006 278.869995 278.519989 276.720001 275.299988]
2018-03-21,-0.01967240371891743,-1.0,2018-03-14,[275.299988 275.       274.200012 270.48999  270.950012 270.429993]
2018-03-28,-0.009082808444277224,1.0,2018-03-21,[270.429993 263.670013 258.049988 265.109985 260.600006 259.829987]
2018-04-05,-0.0018446806668039883,-1.0,2018-03-29,[263.149994 257.470001 260.769989 263.559998 265.640015]
2018-04-12,0.01601928745209258,1.0,2018-04-05,[265.640015 259.720001 261.       265.149994 263.76001  265.929993]
2018-04-19,-0.021979261669497152,-1.0,2018-04-12,[265.929993 265.149994 267.329987 270.190002 270.390015 268.890015]
2018-04-26,-0.004994130937585051,-1.0,2018-04-19,[268.890015 266.609985 266.570007 262.980011 263.630005 266.309998]
2018-05-03,0.016373536219128848,1.0,2018-04-26,[266.309998 266.559998 264.51001  264.980011 263.200012 262.619995]
2018-05-24,-0.013856301929162762,-1.0,2018-05-17,[272.01001  271.329987 273.369995 272.609985 273.359985 272.799988]
