Date,High,Low,Close,Open,Volume
2018-11-16 12:56:00,273.936,273.77,273.78,273.824,218836
2018-11-16 12:57:00,273.88,273.72,273.88,273.78,163466
2018-11-16 12:58:00,273.91,272.65,273.76,273.87,750371
2018-11-16 12:59:00,273.91,273.69,273.863,273.755,204728
2018-11-16 13:00:00,274.015,273.02,273.92,273.865,298030
2018-11-16 13:01:00,273.94,273.02,273.62,273.91,395825
2018-11-16 13:02:00,273.819,273.52,273.72,273.63,247239
2018-11-16 13:03:00,273.89,273.52,273.71,273.73,355998
2018-11-16 13:04:00,273.74,273.43,273.5,273.73,241242
2018-11-16 13:05:00,273.709,273.42,273.5,273.5,159173
2018-11-16 13:06:00,273.561,273.06,273.16,273.5,363121
2018-11-16 13:07:00,273.23,272.92,273.22,273.16,373230
2018-11-16 13:08:00,273.229,273.11,273.19,273.22,98760
2018-11-16 13:09:00,273.28,272.98,273.25,273.19,180284
2018-11-16 13:10:00,273.41,273.21,273.35,273.25,346473
2018-11-16 13:11:00,273.39,273.2,273.36,273.35,92034
2018-11-16 13:12:00,273.49,273.24,273.34,273.37,227854
2018-11-16 13:13:00,273.47,273.28,273.45,273.33,101680
2018-11-16 13:14:00,273.46,273.33,273.35,273.45,81040
2018-11-16 13:15:00,273.43,273.25,273.255,273.35,161632
2018-11-16 13:16:00,273.361,273.18,273.285,273.25,86398
2018-11-16 13:17:00,273.47,273.27,273.42,273.29,64397
2018-11-16 13:18:00,273.56,273.372,273.43,273.426,154397
2018-11-16 13:19:00,273.485,273.21,273.34,273.41,123998
2018-11-16 13:20:00,273.362,273.19,273.33,273.34,71475
2018-11-16 13:21:00,273.33,273.08,273.15,273.33,149153
2018-11-16 13:22:00,273.17,273.04,273.11,273.16,87047
2018-11-16 13:23:00,273.15,273.02,273.12,273.1,89293
2018-11-16 13:24:00,273.33,273.11,273.21,273.11,75712
2018-11-16 13:25:00,273.318,273.17,273.2,273.2,55973
2018-11-16 13:26:00,273.2,272.96,272.98,273.2,83236
2018-11-16 13:27:00,273.192,272.86,273.07,272.99,142194
2018-11-16 13:28:00,273.13,272.96,273.06,273.06,107946
2018-11-16 13:29:00,273.16,272.98,273.05,273.06,85631
2018-11-16 13:30:00,273.1,272.97,272.99,273.06,1091365
2018-11-16 13:31:00,273.135,272.82,272.82,273.0,123133
2018-11-16 13:32:00,273.05,272.82,272.92,272.83,103460
2018-11-16 13:33:00,273.03,272.9,272.96,272.916,124509
2018-11-16 13:34:00,272.96,272.81,272.835,272.96,72887
2018-11-16 13:35:00,272.907,272.64,272.84,272.832,153110
2018-11-16 13:36:00,273.01,272.85,272.95,272.85,96713
2018-11-16 13:37:00,272.99,272.895,272.95,272.94,69126
2018-11-16 13:38:00,272.962,272.785,272.89,272.95,66512
2018-11-16 13:39:00,273.04,272.86,272.99,272.9,49075
2018-11-16 13:40:00,273.07,272.864,273.04,272.98,93807
2018-11-16 13:41:00,273.12,272.69,272.78,273.03,438899
2018-11-16 13:42:00,272.79,272.34,272.49,272.77,214978
2018-11-16 13:43:00,272.72,272.48,272.72,272.49,109954
2018-11-16 13:44:00,273.007,272.6,272.66,272.71,552963
2018-11-16 13:45:00,272.75,272.5,272.5,272.66,96485
2018-11-16 13:46:00,272.64,272.46,272.57,272.49,61266
2018-11-16 13:47:00,272.69,272.56,272.63,272.57,82357
