Date,Open,High,Low,Close,Adj Close,Volume
2015-04-29,192.809998,193.660004,192.139999,193.020004,180.015930,1408900
2015-04-30,192.399994,192.800003,190.320007,191.100006,178.225281,2506100
2015-05-01,191.960007,193.179993,191.850006,193.100006,180.090515,1921200
2015-05-04,193.639999,194.309998,193.500000,193.699997,180.650085,1059900
2015-05-05,193.399994,193.800003,191.330002,191.440002,178.542374,1138300
2015-05-06,192.089996,192.389999,189.529999,190.669998,177.824249,1588100
2015-05-07,190.589996,191.899994,190.240005,191.440002,178.542374,1320600
2015-05-08,193.300003,194.179993,193.229996,193.949997,180.883270,1322600
2015-05-11,193.929993,194.199997,192.960007,193.020004,180.015930,1090100
2015-05-12,192.149994,193.070007,191.229996,192.460007,179.493668,1852700
2015-05-13,192.960007,193.610001,192.259995,192.520004,179.549622,589000
2015-05-14,193.639999,194.600006,193.330002,194.529999,181.424179,901800
2015-05-15,194.679993,194.880005,194.220001,194.729996,181.610733,719000
2015-05-18,194.630005,195.619995,194.479996,195.330002,182.170319,984500
2015-05-19,195.440002,195.770004,194.960007,195.229996,182.076996,980300
2015-05-20,195.369995,195.949997,194.800003,195.100006,181.955795,3401300
2015-05-21,195.050003,195.929993,194.830002,195.690002,182.506027,756200
2015-05-22,195.309998,195.750000,195.190002,195.259995,182.104996,831400
2015-05-26,194.729996,194.770004,192.699997,193.160004,180.146484,1235300
2015-05-27,193.660004,195.240005,193.300003,194.940002,181.806564,1420100
2015-05-28,194.660004,194.869995,194.000000,194.759995,181.638672,1114400
2015-05-29,194.669998,194.720001,193.250000,193.490005,180.454269,1530400
2015-06-01,194.229996,194.639999,193.089996,193.940002,180.873962,1157400
2015-06-02,193.429993,194.500000,192.750000,193.740005,180.687424,1094400
2015-06-03,194.309998,194.929993,193.740005,194.270004,181.181717,1213800
2015-06-04,193.520004,194.130005,192.279999,192.690002,179.708176,1383400
2015-06-05,192.479996,193.020004,191.580002,192.300003,179.344406,1567600
2015-06-08,192.169998,192.320007,191.020004,191.110001,178.234619,1130000
2015-06-09,191.100006,191.649994,190.369995,191.059998,178.187943,1466100
2015-06-10,191.960007,193.779999,191.880005,193.330002,180.305038,1247600
2015-06-11,193.949997,194.369995,193.630005,193.929993,180.864609,724400
2015-06-12,193.009995,193.220001,192.210007,192.509995,179.540283,2147300
2015-06-15,191.220001,191.970001,190.470001,191.619995,178.710190,1392600
2015-06-16,191.500000,192.809998,191.339996,192.740005,179.754791,819800
2015-06-17,193.059998,193.690002,191.949997,193.070007,180.062576,1170000
2015-06-18,193.610001,195.529999,193.600006,195.039993,181.899796,1041600
2015-06-19,194.800003,194.850006,193.850006,193.850006,180.790024,691400
2015-06-22,194.369995,194.919998,194.050003,194.270004,182.028748,1027000
2015-06-23,194.479996,194.759995,194.000000,194.410004,182.159882,1727100
2015-06-24,194.179993,194.520004,192.990005,193.020004,180.857483,2160100
2015-06-25,193.509995,193.690002,192.360001,192.419998,180.295273,2287600
2015-06-26,192.820007,193.070007,191.800003,192.419998,180.295273,1631900
2015-06-29,190.779999,191.429993,188.259995,188.320007,176.453644,2746800
2015-06-30,190.179993,190.179993,188.240005,188.759995,176.865906,2679400
2015-07-01,190.649994,190.750000,189.449997,190.270004,178.280746,2782300
2015-07-02,190.850006,191.000000,189.679993,190.130005,178.149567,3087100
2015-07-06,188.720001,190.399994,188.479996,189.500000,177.559235,1741100
2015-07-07,189.860001,190.899994,187.190002,190.750000,178.730484,3507300
2015-07-08,189.360001,189.589996,187.309998,187.509995,175.694656,1873800
2015-07-09,189.899994,190.130005,187.830002,187.850006,176.013245,2224900
2015-07-10,190.179993,190.710007,189.350006,190.240005,178.252640,1647600
2015-07-13,191.589996,192.479996,191.580002,192.369995,180.248413,1026000
2015-07-14,192.369995,193.529999,192.270004,193.220001,181.044861,1128900
2015-07-15,193.289993,193.729996,192.619995,193.139999,180.969910,1174800
2015-07-16,194.309998,194.669998,194.050003,194.619995,182.356644,948800
2015-07-17,194.679993,194.919998,194.240005,194.850006,182.572144,871200
2015-07-20,195.089996,195.460007,194.600006,194.940002,182.656479,1103500
2015-07-21,194.820007,195.050003,193.860001,194.169998,181.934998,772400
2015-07-22,193.380005,194.160004,193.380005,193.789993,181.578949,1193700
2015-07-23,194.000000,194.029999,192.339996,192.679993,180.538864,899300
2015-07-24,192.860001,192.889999,190.360001,190.669998,178.655548,1588500
2015-07-27,189.779999,190.320007,189.149994,189.589996,177.643585,1745300
2015-07-28,190.589996,192.100006,189.630005,191.889999,179.798645,931300
2015-07-29,192.070007,193.500000,191.910004,193.179993,181.007370,2470800
2015-07-30,192.770004,193.479996,192.020004,193.279999,181.101074,923900
2015-07-31,193.919998,193.919998,192.710007,192.949997,180.791855,1437200
2015-08-03,193.000000,193.009995,191.330002,192.350006,180.229691,3081700
2015-08-04,192.350006,192.759995,191.460007,191.970001,179.873627,1601700
2015-08-05,193.039993,193.750000,192.309998,192.639999,180.501419,1369700
2015-08-06,192.770004,192.929993,190.389999,191.169998,179.124039,1320600
2015-08-07,190.880005,190.990005,189.690002,190.669998,178.655548,1853700
2015-08-10,191.899994,193.149994,191.899994,193.089996,180.923050,1346700
2015-08-11,191.639999,192.039993,190.500000,191.330002,179.273941,2949700
2015-08-12,189.880005,191.759995,188.300003,191.490005,179.423874,3758700
2015-08-13,191.419998,192.119995,190.770004,191.279999,179.227097,1155900
2015-08-14,191.119995,192.080002,190.979996,192.020004,179.920471,742500
2015-08-17,191.419998,193.089996,190.860001,193.089996,180.923050,1926300
2015-08-18,192.839996,193.160004,192.279999,192.500000,180.370224,1023800
2015-08-19,191.779999,192.550003,190.119995,190.979996,178.945999,1771900
2015-08-20,189.360001,189.929993,186.949997,186.970001,175.188705,4195700
2015-08-21,185.080002,186.029999,181.039993,181.039993,169.632324,6145900
2015-08-24,172.000000,179.539993,168.080002,173.789993,162.839157,12325000
2015-08-25,179.160004,179.800003,171.369995,171.580002,160.768463,8132200
2015-08-26,176.229996,178.509995,172.679993,178.360001,167.121201,7086100
2015-08-27,180.800003,182.800003,178.940002,182.720001,171.206482,7168800
2015-08-28,181.970001,183.190002,181.429993,182.720001,171.206482,2945000
